pid,ad_title,ad_type,ad_file,target_age_group,target_gender,target_mood,target_weather,ad_category,media_url,ad_description,tags
TNS009,Teen Makeup Starter Kit,image,TNS009.png,10-18,female,happy,sunny,attention grabbing ads,,Beginner friendly makeup kit,makeup beauty teen
TNS010,Skateboard Street Pro,image,TNS010.png,10-18,male,happy,sunny,premium ads,,Professional skateboard for outdoor fun,skateboard sports teen
TNS011,School Laptop Backpack,image,TNS011.png,10-18,female,neutral,sunny,generic ads,,Lightweight backpack with laptop compartment,school bag teen
TNS012,Bluetooth Gaming Mouse,image,TNS012.png,10-18,male,happy,sunny,premium ads,,High precision wireless gaming mouse,gaming electronics teen
TNS013,Teen Sports Watch,image,TNS013.png,10-18,female,neutral,sunny,generic ads,,Digital sports watch for daily use,watch sports teen
TNS014,Basketball Training Kit,image,TNS014.png,10-18,male,happy,sunny,generic ads,,Complete basketball kit for teens,basketball sports teen
TNS015,Hair Straightener Pro,image,TNS015.png,10-18,female,happy,sunny,premium ads,,Ceramic hair straightener tool,hair beauty teen
TNS016,Teen Hoodie Winter Edition,image,TNS016.png,10-18,male,neutral,cold,generic ads,,Warm hoodie for chilly evenings,hoodie winter teen
TNS017,Photography Starter Camera,image,TNS017.png,10-18,female,happy,sunny,premium ads,,Beginner DSLR camera kit,camera photography teen
TNS018,Cycling Helmet Safety Gear,image,TNS018.png,10-18,male,neutral,sunny,generic ads,,Protective cycling helmet,helmet cycling teen
TNS019,Fashion Sunglasses Youth,image,TNS019.png,10-18,female,happy,sunny,generic ads,,UV protection stylish sunglasses,sunglasses fashion teen
TNS020,Portable Bluetooth Speaker,image,TNS020.png,10-18,male,happy,sunny,premium ads,,High bass portable speaker,speaker electronics teen
YA006,Office Laptop Pro Series,image,YA006.png,18-39,male,neutral,sunny,premium ads,,Lightweight business laptop,electronics laptop office
YA007,Designer Handbag Classic,image,YA007.png,18-39,female,happy,sunny,premium ads,,Premium leather handbag,fashion handbag women
YA008,Fitness Smart Watch,image,YA008.png,18-39,male,happy,sunny,premium ads,,Smart fitness tracking watch,fitness smartwatch men
YA009,Skin Care Glow Pack,image,YA009.png,18-39,female,happy,sunny,generic ads,,Natural skincare product bundle,skincare beauty women
YA010,Premium Leather Wallet,image,YA010.png,18-39,male,neutral,sunny,generic ads,,Genuine leather slim wallet,wallet fashion men
YA011,Professional Makeup Kit,image,YA011.png,18-39,female,happy,sunny,premium ads,,Complete cosmetic collection,makeup beauty women
YA012,Gym Membership Discount,image,YA012.png,18-39,male,happy,sunny,attention grabbing ads,,Annual gym membership offer,gym fitness men
YA013,Salon Hair Treatment Offer,image,YA013.png,18-39,female,happy,sunny,premium ads,,Hair spa and styling package,salon beauty women
YA014,Wireless Earbuds Pro,image,YA014.png,18-39,male,neutral,sunny,premium ads,,Noise cancelling wireless earbuds,earbuds electronics
YA015,Premium Saree Collection,image,YA015.png,18-39,female,happy,sunny,premium ads,,Modern elegant saree styles,saree fashion women
YA016,Formal Business Suit,image,YA016.png,18-39,male,neutral,sunny,premium ads,,Slim fit business suit set,suit fashion men
YA017,Travel Backpack Adventure,image,YA017.png,18-39,female,happy,sunny,generic ads,,Spacious travel backpack,travel bag women
YA018,Motorbike Helmet Safety,image,YA018.png,18-39,male,neutral,sunny,generic ads,,High protection bike helmet,helmet motorbike men
YA019,Yoga Class Membership,image,YA019.png,18-39,female,happy,sunny,generic ads,,Monthly yoga class subscription,yoga fitness women
YA020,Smartphone Upgrade Deal,image,YA020.png,18-39,male,neutral,sunny,premium ads,,Latest smartphone upgrade offer,phone electronics
YA021,Evening Party Dress,image,YA021.png,18-39,female,happy,sunny,attention grabbing ads,,Stylish evening dress collection,dress fashion women
YA022,Men's Casual Blazer,image,YA022.png,18-39,male,neutral,sunny,generic ads,,Modern casual blazer,jacket fashion men
YA023,Organic Beauty Cream,image,YA023.png,18-39,female,neutral,sunny,generic ads,,Organic herbal beauty cream,beauty skincare women
YA024,Premium Gaming Console,image,YA024.png,18-39,male,happy,sunny,premium ads,,Next gen gaming console,gaming electronics
YA025,Kitchen Appliance Combo,image,YA025.png,18-39,female,neutral,sunny,generic ads,,Modern kitchen appliance set,kitchen home women
ADL005,Classic Wrist Watch,image,ADL005.png,40-64,male,neutral,sunny,generic ads,,Analog classic wrist watch,watch fashion men
ADL006,Traditional Silk Saree,image,ADL006.png,40-64,female,happy,sunny,premium ads,,Elegant silk saree design,saree fashion women
ADL007,Health Insurance Coverage,image,ADL007.png,40-64,male,neutral,sunny,generic ads,,Comprehensive health insurance plan,insurance health men
ADL008,Garden Tool Kit Deluxe,image,ADL008.png,40-64,female,happy,sunny,generic ads,,Complete gardening tool set,gardening tools women
ADL009,Formal Leather Shoes,image,ADL009.png,40-64,male,neutral,sunny,premium ads,,Premium leather formal shoes,shoes fashion men
ADL010,Home Decor Curtain Set,image,ADL010.png,40-64,female,happy,sunny,generic ads,,Decorative curtain collection,home decor women
ADL011,Medical Checkup Package,image,ADL011.png,40-64,male,neutral,sunny,generic ads,,Annual health checkup package,medical health men
ADL012,Premium Jewelry Set,image,ADL012.png,40-64,female,happy,sunny,premium ads,,Gold and diamond jewelry set,jewelry fashion women
ADL013,Car Maintenance Offer,image,ADL013.png,40-64,male,neutral,sunny,generic ads,,Complete car service discount,car service men
ADL014,Handloom Saree Festival,image,ADL014.png,40-64,female,happy,sunny,attention grabbing ads,,Traditional festival saree collection,saree festival women
ADL015,Home Security System,image,ADL015.png,40-64,male,neutral,sunny,premium ads,,Smart home security system,security electronics men
ADL016,Organic Tea Collection,image,ADL016.png,40-64,female,happy,sunny,generic ads,,Premium organic tea blends,tea beverage women
ADL017,Formal Shirt Combo Pack,image,ADL017.png,40-64,male,neutral,sunny,generic ads,,Cotton formal shirt combo,shirt fashion men
ADL018,Cooking Masterclass Offer,image,ADL018.png,40-64,female,happy,sunny,generic ads,,Professional cooking workshop,cooking food women
ADL019,Premium Reading Glasses,image,ADL019.png,40-64,male,neutral,sunny,generic ads,,Comfortable reading glasses,glasses health men
ADL020,Wellness Spa Package,image,ADL020.png,40-64,female,happy,sunny,premium ads,,Relaxing wellness spa session,spa beauty women
SR006,Comfort Sandals Senior,image,SR006.png,65 plus,male,neutral,sunny,generic ads,,Soft orthopedic sandals,sandals comfort senior
SR007,Ayurvedic Herbal Oil,image,SR007.png,65 plus,female,neutral,sunny,generic ads,,Natural herbal massage oil,health herbal senior
SR008,Senior Travel Holiday Package,image,SR008.png,65 plus,male,happy,sunny,premium ads,,Relaxing senior travel package,travel senior
SR009,Blood Pressure Monitor Home,image,SR009.png,65 plus,female,neutral,sunny,generic ads,,Automatic BP monitor device,medical health senior
SR010,Senior Fitness Walking Club,image,SR010.png,65 plus,female,happy,sunny,generic ads,,Community walking club membership,fitness senior
KID001,Soccer Starter Kit for Boys,image,KID001.png,kids,male,happy,sunny,generic ads,,Complete football kit for young boys,football sports kids
KID002,Princess Fairy Dress,image,KID002.png,kids,female,happy,sunny,generic ads,,Magical princess costume for girls,princess dress kids
KID003,Remote Control Racing Car,image,KID003.png,kids,male,neutral,sunny,premium ads,,High speed RC racing car toy,car toy racing
KID004,Kids Art & Craft Set,image,KID004.png,kids,female,happy,sunny,generic ads,,Creative drawing and painting kit,art craft creativity
KID005,Cartoon School Backpack,image,KID005.png,kids,male,happy,sunny,generic ads,,Colorful backpack for school children,school bag kids
KID006,Rainbow Unicorn Toy,image,KID006.png,kids,female,happy,sunny,generic ads,,Soft plush unicorn toy,unicorn plush kids
KID007,Kids Raincoat Adventure Edition,image,KID007.png,kids,male,neutral,rainy,generic ads,,Waterproof raincoat for boys,rain raincoat kids
KID008,Mini Kitchen Play Set,image,KID008.png,kids,female,happy,sunny,premium ads,,Role play kitchen toys set,kitchen toy kids
KID009,Junior Cricket Bat Set,image,KID009.png,kids,male,happy,sunny,generic ads,,Lightweight cricket bat for kids,cricket sports kids
KID010,Ballet Dance Outfit,image,KID010.png,kids,female,happy,sunny,generic ads,,Comfortable ballet dress,dance kids
KID011,Building Blocks Mega Pack,image,KID011.png,kids,male,neutral,sunny,premium ads,,Large set of educational building blocks,lego blocks kids
KID012,Kids Story Book Collection,image,KID012.png,kids,female,neutral,sunny,generic ads,,Illustrated storybooks for children,books reading kids
KID013,Superhero Costume Pack,image,KID013.png,kids,male,happy,sunny,attention grabbing ads,,Superhero dress up costume,superhero costume
KID014,Kids Roller Skates,image,KID014.png,kids,female,happy,sunny,generic ads,,Beginner roller skating shoes,skates sports kids
KID015,Junior Tennis Kit,image,KID015.png,kids,male,happy,sunny,generic ads,,Tennis racket for young players,tennis sports kids
KID016,Kids Swimming Goggles,image,KID016.png,kids,female,neutral,sunny,generic ads,,Anti fog swimming goggles,swimming kids
KID017,Educational Puzzle Game,image,KID017.png,kids,male,neutral,sunny,premium ads,,Brain boosting puzzle set,puzzle brain kids
KID018,Kids Fashion Hair Clips,image,KID018.png,kids,female,happy,sunny,generic ads,,Colorful hair accessories,hair fashion kids
KID019,Kids Hoodie Winter Edition,image,KID019.png,kids,male,neutral,cold,generic ads,,Warm hoodie for winter,hoodie winter kids
KID020,Magic Painting Board,image,KID020.png,kids,female,happy,sunny,generic ads,,Reusable drawing board toy,painting kids
9E74A1A8,Shoes for girls aged from 10-18,image,9E74A1A8.png,Kids,Female,happy,cold,generic ads,,Comfy shoes for little girls to walk easily,"shoes, for, girls, aged, from, 10-18"
E5E41377,Party dress for girls aged 10 -18,image,E5E41377.jpg,Kids,Female,happy,cold,generic ads,,Party dress for girls aged 10 -18,"party, dress, for, girls, aged, 10, -18"
C13507FA,Football set for male kids,image,C13507FA.jpg,kids,Male,sad,cold,generic ads,,Football set for male kids,"football, set, for, male, kids"
ADULT1,Fashion centre offers for ladies,video,ADULT1.mp4,18-39,female,Happy,cold,generic ads,,,
