pid,ad_title,ad_type,ad_file,target_age_group,target_gender,target_mood,target_weather,ad_category,media_url,ad_description,tags
NKCEGMUCHG4CKEGB,Gym offer for men's day ,image,NKCEGMUCHG4CKEGB.png,18-39,male,neutral,sunny,premium ads,/Advertisements/NKCEGMUCHG4CKEGB.png,Special gym membership discount for men's fitness day,gym fitness workout men
SWIEHF3EF5PZAZUY,Carrel Printed Women's Clothing,image,SWIEHF3EF5PZAZUY.jpeg,18-39,female,neutral,sunny,generic ads,/Advertisements/SWIEHF3EF5PZAZUY.jpeg,Stylish printed women's clothing collection,fashion clothing women
WATE9CFHPAEU3G4B,"Jack Klein Goldjack Analog Watch  - For Boys, Men",image,WATE9CFHPAEU3G4B.jpeg,18-39,male,neutral,sunny,premium ads,/Advertisements/WATE9CFHPAEU3G4B.jpeg,Premium analog gold watch for men and boys,watch fashion men accessory
WATE9MVXJXHZHEJU,Hair colour and hair cut offer at some salon,image,WATE9MVXJXHZHEJU.png,18-39,female,neutral,sunny,premium ads,/Advertisements/WATE9MVXJXHZHEJU.png,Professional hair colouring and haircut service package,salon beauty hair women
Z3L50P1DQ32THDU4,Soccer kit for kids,image,Z3L50P1DQ32THDU4.png,kids,male,neutral,cold,generic ads,/Advertisements/Z3L50P1DQ32THDU4.png,Complete soccer jersey and shorts set for young players,football sports kids soccer
YA026,Premium Office Backpack,image,YA026.png,18-39,male,neutral,sunny,generic ads,/Advertisements/YA026.png,Professional laptop backpack,office bag men
YA027,Ladies Fitness Leggings,image,YA027.png,18-39,female,happy,sunny,generic ads,/Advertisements/YA027.png,Comfortable workout leggings,fitness fashion women
YA028,Smart Home LED Lights,image,YA028.png,18-39,male,neutral,sunny,premium ads,/Advertisements/YA028.png,Energy efficient smart LED lighting,home electronics
YA029,Designer Heels Collection,image,YA029.png,18-39,female,happy,sunny,premium ads,/Advertisements/YA029.png,Stylish high heel footwear,heels fashion women
YA030,Professional DSLR Camera,image,YA030.png,18-39,male,happy,sunny,premium ads,/Advertisements/YA030.png,High resolution DSLR camera kit,camera photography
YA031,Organic Face Serum,image,YA031.png,18-39,female,neutral,sunny,generic ads,/Advertisements/YA031.png,Natural glow face serum,beauty skincare women
YA032,Wireless Charging Pad,image,YA032.png,18-39,male,neutral,sunny,generic ads,/Advertisements/YA032.png,Fast wireless phone charger,electronics charger
YA033,Bridal Makeup Package,image,YA033.png,18-39,female,happy,sunny,premium ads,/Advertisements/YA033.png,Complete bridal beauty package,bridal makeup women
ADL021,Men’s Formal Blazer Premium,image,ADL021.png,40-64,male,neutral,sunny,premium ads,/Advertisements/ADL021.png,Premium formal blazer jacket,blazer fashion men
ADL022,Cotton Kurti Collection,image,ADL022.png,40-64,female,happy,sunny,generic ads,/Advertisements/ADL022.png,Comfortable cotton kurtis,fashion women
ADL023,Home Water Purifier System,image,ADL023.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL023.png,Advanced water filtration system,home appliance men
ADL024,Premium Handbag Classic,image,ADL024.png,40-64,female,neutral,sunny,premium ads,/Advertisements/ADL024.png,Classic leather handbag,fashion women
ADL025,Car Tire Replacement Offer,image,ADL025.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL025.png,Discount tire replacement service,car automotive
ADL026,Organic Spice Gift Pack,image,ADL026.png,40-64,female,happy,sunny,generic ads,/Advertisements/ADL026.png,Premium spice collection,food grocery women
ADL027,Men’s Luxury Perfume,image,ADL027.png,40-64,male,happy,sunny,premium ads,/Advertisements/ADL027.png,Long lasting fragrance,perfume fashion men
ADL028,Gold Bangle Collection,image,ADL028.png,40-64,female,happy,sunny,premium ads,/Advertisements/ADL028.png,Traditional gold bangles,jewelry women
TNS021,Teen Graphic T-Shirts,image,TNS021.png,10-18,male,happy,sunny,generic ads,/Advertisements/TNS021.png,Printed casual t shirts,fashion teen
TNS022,Teen Fashion Sneakers,image,TNS022.png,10-18,female,happy,sunny,generic ads,/Advertisements/TNS022.png,Trendy sneakers for girls,sneakers teen
TNS023,Portable Study Table,image,TNS023.png,10-18,male,neutral,sunny,generic ads,/Advertisements/TNS023.png,Foldable study desk,study furniture teen
TNS024,Teen Nail Art Kit,image,TNS024.png,10-18,female,happy,sunny,premium ads,/Advertisements/TNS024.png,Creative nail art accessories,beauty teen
TNS025,Basketball Shoes Pro,image,TNS025.png,10-18,male,happy,sunny,premium ads,/Advertisements/TNS025.png,High grip basketball shoes,sports teen
TNS026,School Exam Guide Books,image,TNS026.png,10-18,female,neutral,sunny,generic ads,/Advertisements/TNS026.png,Exam preparation book set,books teen
SR011,Senior Health Supplement Pack,image,SR011.png,65 plus,male,neutral,sunny,generic ads,/Advertisements/SR011.png,Nutritional supplement for seniors,health supplement senior
SR012,Comfort Cotton Nightwear,image,SR012.png,65 plus,female,neutral,sunny,generic ads,/Advertisements/SR012.png,Soft cotton nightwear set,clothing senior
SR013,Senior Friendly Mobile Phone,image,SR013.png,65 plus,male,neutral,sunny,premium ads,/Advertisements/SR013.png,Large button easy phone,mobile senior
SR014,Herbal Joint Pain Relief Oil,image,SR014.png,65 plus,female,neutral,sunny,generic ads,/Advertisements/SR014.png,Natural pain relief oil,health herbal senior
SR015,Senior Pilgrimage Tour Offer,image,SR015.png,65 plus,female,happy,sunny,premium ads,/Advertisements/SR015.png,Religious tour package,travel senior
SR016,Classic Reading Lamp,image,SR016.png,65 plus,male,neutral,sunny,generic ads,/Advertisements/SR016.png,Soft light reading lamp,home decor senior
TNS006,Urban Street Sneakers,image,TNS006.png,10-18,male,happy,sunny,generic ads,/Advertisements/TNS006.png,Comfortable street style sneakers for teens,sneakers shoes teen
TNS007,Teen Casual Denim Jacket,image,TNS007.png,10-18,female,happy,sunny,generic ads,/Advertisements/TNS007.png,Trendy denim jacket for young girls,jacket fashion teen
TNS008,Gaming Keyboard RGB Edition,image,TNS008.png,10-18,male,neutral,sunny,premium ads,/Advertisements/TNS008.png,Mechanical RGB gaming keyboard,gaming keyboard electronics
TNS009,Teen Makeup Starter Kit,image,TNS009.png,10-18,female,happy,sunny,attention grabbing ads,/Advertisements/TNS009.png,Beginner friendly makeup kit,makeup beauty teen
TNS010,Skateboard Street Pro,image,TNS010.png,10-18,male,happy,sunny,premium ads,/Advertisements/TNS010.png,Professional skateboard for outdoor fun,skateboard sports teen
TNS011,School Laptop Backpack,image,TNS011.png,10-18,female,neutral,sunny,generic ads,/Advertisements/TNS011.png,Lightweight backpack with laptop compartment,school bag teen
TNS012,Bluetooth Gaming Mouse,image,TNS012.png,10-18,male,happy,sunny,premium ads,/Advertisements/TNS012.png,High precision wireless gaming mouse,gaming electronics teen
TNS013,Teen Sports Watch,image,TNS013.png,10-18,female,neutral,sunny,generic ads,/Advertisements/TNS013.png,Digital sports watch for daily use,watch sports teen
TNS014,Basketball Training Kit,image,TNS014.png,10-18,male,happy,sunny,generic ads,/Advertisements/TNS014.png,Complete basketball kit for teens,basketball sports teen
TNS015,Hair Straightener Pro,image,TNS015.png,10-18,female,happy,sunny,premium ads,/Advertisements/TNS015.png,Ceramic hair straightener tool,hair beauty teen
TNS016,Teen Hoodie Winter Edition,image,TNS016.png,10-18,male,neutral,cold,generic ads,/Advertisements/TNS016.png,Warm hoodie for chilly evenings,hoodie winter teen
TNS017,Photography Starter Camera,image,TNS017.png,10-18,female,happy,sunny,premium ads,/Advertisements/TNS017.png,Beginner DSLR camera kit,camera photography teen
TNS018,Cycling Helmet Safety Gear,image,TNS018.png,10-18,male,neutral,sunny,generic ads,/Advertisements/TNS018.png,Protective cycling helmet,helmet cycling teen
TNS019,Fashion Sunglasses Youth,image,TNS019.png,10-18,female,happy,sunny,generic ads,/Advertisements/TNS019.png,UV protection stylish sunglasses,sunglasses fashion teen
TNS020,Portable Bluetooth Speaker,image,TNS020.png,10-18,male,happy,sunny,premium ads,/Advertisements/TNS020.png,High bass portable speaker,speaker electronics teen
YA006,Office Laptop Pro Series,image,YA006.png,18-39,male,neutral,sunny,premium ads,/Advertisements/YA006.png,Lightweight business laptop,electronics laptop office
YA007,Designer Handbag Classic,image,YA007.png,18-39,female,happy,sunny,premium ads,/Advertisements/YA007.png,Premium leather handbag,fashion handbag women
YA008,Fitness Smart Watch,image,YA008.png,18-39,male,happy,sunny,premium ads,/Advertisements/YA008.png,Smart fitness tracking watch,fitness smartwatch men
YA009,Skin Care Glow Pack,image,YA009.png,18-39,female,happy,sunny,generic ads,/Advertisements/YA009.png,Natural skincare product bundle,skincare beauty women
YA010,Premium Leather Wallet,image,YA010.png,18-39,male,neutral,sunny,generic ads,/Advertisements/YA010.png,Genuine leather slim wallet,wallet fashion men
YA011,Professional Makeup Kit,image,YA011.png,18-39,female,happy,sunny,premium ads,/Advertisements/YA011.png,Complete cosmetic collection,makeup beauty women
YA012,Gym Membership Discount,image,YA012.png,18-39,male,happy,sunny,attention grabbing ads,/Advertisements/YA012.png,Annual gym membership offer,gym fitness men
YA013,Salon Hair Treatment Offer,image,YA013.png,18-39,female,happy,sunny,premium ads,/Advertisements/YA013.png,Hair spa and styling package,salon beauty women
YA014,Wireless Earbuds Pro,image,YA014.png,18-39,male,neutral,sunny,premium ads,/Advertisements/YA014.png,Noise cancelling wireless earbuds,earbuds electronics
YA015,Premium Saree Collection,image,YA015.png,18-39,female,happy,sunny,premium ads,/Advertisements/YA015.png,Modern elegant saree styles,saree fashion women
YA016,Formal Business Suit,image,YA016.png,18-39,male,neutral,sunny,premium ads,/Advertisements/YA016.png,Slim fit business suit set,suit fashion men
YA017,Travel Backpack Adventure,image,YA017.png,18-39,female,happy,sunny,generic ads,/Advertisements/YA017.png,Spacious travel backpack,travel bag women
YA018,Motorbike Helmet Safety,image,YA018.png,18-39,male,neutral,sunny,generic ads,/Advertisements/YA018.png,High protection bike helmet,helmet motorbike men
YA019,Yoga Class Membership,image,YA019.png,18-39,female,happy,sunny,generic ads,/Advertisements/YA019.png,Monthly yoga class subscription,yoga fitness women
YA020,Smartphone Upgrade Deal,image,YA020.png,18-39,male,neutral,sunny,premium ads,/Advertisements/YA020.png,Latest smartphone upgrade offer,phone electronics
YA021,Evening Party Dress,image,YA021.png,18-39,female,happy,sunny,attention grabbing ads,/Advertisements/YA021.png,Stylish evening dress collection,dress fashion women
YA022,Men's Casual Blazer,image,YA022.png,18-39,male,neutral,sunny,generic ads,/Advertisements/YA022.png,Modern casual blazer,jacket fashion men
YA023,Organic Beauty Cream,image,YA023.png,18-39,female,neutral,sunny,generic ads,/Advertisements/YA023.png,Organic herbal beauty cream,beauty skincare women
YA024,Premium Gaming Console,image,YA024.png,18-39,male,happy,sunny,premium ads,/Advertisements/YA024.png,Next gen gaming console,gaming electronics
YA025,Kitchen Appliance Combo,image,YA025.png,18-39,female,neutral,sunny,generic ads,/Advertisements/YA025.png,Modern kitchen appliance set,kitchen home women
ADL005,Classic Wrist Watch,image,ADL005.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL005.png,Analog classic wrist watch,watch fashion men
ADL006,Traditional Silk Saree,image,ADL006.png,40-64,female,happy,sunny,premium ads,/Advertisements/ADL006.png,Elegant silk saree design,saree fashion women
ADL007,Health Insurance Coverage,image,ADL007.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL007.png,Comprehensive health insurance plan,insurance health men
ADL008,Garden Tool Kit Deluxe,image,ADL008.png,40-64,female,happy,sunny,generic ads,/Advertisements/ADL008.png,Complete gardening tool set,gardening tools women
ADL009,Formal Leather Shoes,image,ADL009.png,40-64,male,neutral,sunny,premium ads,/Advertisements/ADL009.png,Premium leather formal shoes,shoes fashion men
ADL010,Home Decor Curtain Set,image,ADL010.png,40-64,female,happy,sunny,generic ads,/Advertisements/ADL010.png,Decorative curtain collection,home decor women
ADL011,Medical Checkup Package,image,ADL011.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL011.png,Annual health checkup package,medical health men
ADL012,Premium Jewelry Set,image,ADL012.png,40-64,female,happy,sunny,premium ads,/Advertisements/ADL012.png,Gold and diamond jewelry set,jewelry fashion women
ADL013,Car Maintenance Offer,image,ADL013.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL013.png,Complete car service discount,car service men
ADL014,Handloom Saree Festival,image,ADL014.png,40-64,female,happy,sunny,attention grabbing ads,/Advertisements/ADL014.png,Traditional festival saree collection,saree festival women
ADL015,Home Security System,image,ADL015.png,40-64,male,neutral,sunny,premium ads,/Advertisements/ADL015.png,Smart home security system,security electronics men
ADL016,Organic Tea Collection,image,ADL016.png,40-64,female,happy,sunny,generic ads,/Advertisements/ADL016.png,Premium organic tea blends,tea beverage women
ADL017,Formal Shirt Combo Pack,image,ADL017.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL017.png,Cotton formal shirt combo,shirt fashion men
ADL018,Cooking Masterclass Offer,image,ADL018.png,40-64,female,happy,sunny,generic ads,/Advertisements/ADL018.png,Professional cooking workshop,cooking food women
ADL019,Premium Reading Glasses,image,ADL019.png,40-64,male,neutral,sunny,generic ads,/Advertisements/ADL019.png,Comfortable reading glasses,glasses health men
ADL020,Wellness Spa Package,image,ADL020.png,40-64,female,happy,sunny,premium ads,/Advertisements/ADL020.png,Relaxing wellness spa session,spa beauty women
SR006,Comfort Sandals Senior,image,SR006.png,65 plus,male,neutral,sunny,generic ads,/Advertisements/SR006.png,Soft orthopedic sandals,sandals comfort senior
SR007,Ayurvedic Herbal Oil,image,SR007.png,65 plus,female,neutral,sunny,generic ads,/Advertisements/SR007.png,Natural herbal massage oil,health herbal senior
SR008,Senior Travel Holiday Package,image,SR008.png,65 plus,male,happy,sunny,premium ads,/Advertisements/SR008.png,Relaxing senior travel package,travel senior
SR009,Blood Pressure Monitor Home,image,SR009.png,65 plus,female,neutral,sunny,generic ads,/Advertisements/SR009.png,Automatic BP monitor device,medical health senior
SR010,Senior Fitness Walking Club,image,SR010.png,65 plus,female,happy,sunny,generic ads,/Advertisements/SR010.png,Community walking club membership,fitness senior
KID001,Soccer Starter Kit for Boys,image,KID001.png,kids,male,happy,sunny,generic ads,/Advertisements/KID001.png,Complete football kit for young boys,football sports kids
KID002,Princess Fairy Dress,image,KID002.png,kids,female,happy,sunny,generic ads,/Advertisements/KID002.png,Magical princess costume for girls,princess dress kids
KID003,Remote Control Racing Car,image,KID003.png,kids,male,neutral,sunny,premium ads,/Advertisements/KID003.png,High speed RC racing car toy,car toy racing
KID004,Kids Art & Craft Set,image,KID004.png,kids,female,happy,sunny,generic ads,/Advertisements/KID004.png,Creative drawing and painting kit,art craft creativity
KID005,Cartoon School Backpack,image,KID005.png,kids,male,happy,sunny,generic ads,/Advertisements/KID005.png,Colorful backpack for school children,school bag kids
KID006,Rainbow Unicorn Toy,image,KID006.png,kids,female,happy,sunny,generic ads,/Advertisements/KID006.png,Soft plush unicorn toy,unicorn plush kids
KID007,Kids Raincoat Adventure Edition,image,KID007.png,kids,male,neutral,rainy,generic ads,/Advertisements/KID007.png,Waterproof raincoat for boys,rain raincoat kids
KID008,Mini Kitchen Play Set,image,KID008.png,kids,female,happy,sunny,premium ads,/Advertisements/KID008.png,Role play kitchen toys set,kitchen toy kids
KID009,Junior Cricket Bat Set,image,KID009.png,kids,male,happy,sunny,generic ads,/Advertisements/KID009.png,Lightweight cricket bat for kids,cricket sports kids
KID010,Ballet Dance Outfit,image,KID010.png,kids,female,happy,sunny,generic ads,/Advertisements/KID010.png,Comfortable ballet dress,dance kids
KID011,Building Blocks Mega Pack,image,KID011.png,kids,male,neutral,sunny,premium ads,/Advertisements/KID011.png,Large set of educational building blocks,lego blocks kids
KID012,Kids Story Book Collection,image,KID012.png,kids,female,neutral,sunny,generic ads,/Advertisements/KID012.png,Illustrated storybooks for children,books reading kids
KID013,Superhero Costume Pack,image,KID013.png,kids,male,happy,sunny,attention grabbing ads,/Advertisements/KID013.png,Superhero dress up costume,superhero costume
KID014,Kids Roller Skates,image,KID014.png,kids,female,happy,sunny,generic ads,/Advertisements/KID014.png,Beginner roller skating shoes,skates sports kids
KID015,Junior Tennis Kit,image,KID015.png,kids,male,happy,sunny,generic ads,/Advertisements/KID015.png,Tennis racket for young players,tennis sports kids
KID016,Kids Swimming Goggles,image,KID016.png,kids,female,neutral,sunny,generic ads,/Advertisements/KID016.png,Anti fog swimming goggles,swimming kids
KID017,Educational Puzzle Game,image,KID017.png,kids,male,neutral,sunny,premium ads,/Advertisements/KID017.png,Brain boosting puzzle set,puzzle brain kids
KID018,Kids Fashion Hair Clips,image,KID018.png,kids,female,happy,sunny,generic ads,/Advertisements/KID018.png,Colorful hair accessories,hair fashion kids
KID019,Kids Hoodie Winter Edition,image,KID019.png,kids,male,neutral,cold,generic ads,/Advertisements/KID019.png,Warm hoodie for winter,hoodie winter kids
KID020,Magic Painting Board,image,KID020.png,kids,female,happy,sunny,generic ads,/Advertisements/KID020.png,Reusable drawing board toy,painting kids
9E74A1A8,Shoes for girls aged from 10-18,image,9E74A1A8.png,Kids,Female,happy,cold,generic ads,/Advertisements/9E74A1A8.png,Comfy shoes for little girls to walk easily,"shoes, for, girls, aged, from, 10-18"
E5E41377,Party dress for girls aged 10 -18,image,E5E41377.jpg,Kids,Female,happy,cold,generic ads,/Advertisements/E5E41377.jpg,Party dress for girls aged 10 -18,"party, dress, for, girls, aged, 10, -18"
C13507FA,Football set for male kids,image,C13507FA.jpg,kids,Male,sad,cold,generic ads,/Advertisements/C13507FA.jpg,Football set for male kids,"football, set, for, male, kids"
ADULT1,Fashion centre offers for ladies,video,ADULT1.mp4,18-39,female,Happy,cold,generic ads,/Advertisements/ADULT1.mp4,,
